<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;14/07/23;190000;169.8400000
GAZP;60;14/07/23;200000;169.5800000
GAZP;60;14/07/23;210000;169.6200000
GAZP;60;14/07/23;220000;169.7300000
GAZP;60;14/07/23;230000;169.7700000
GAZP;60;15/07/23;000000;169.7000000
GAZP;60;17/07/23;110000;169.6800000
GAZP;60;17/07/23;120000;170.7000000
GAZP;60;17/07/23;130000;170.9200000
GAZP;60;17/07/23;140000;170.6100000
GAZP;60;17/07/23;150000;170.5900000
GAZP;60;17/07/23;160000;170.5000000
GAZP;60;17/07/23;170000;170.0200000
GAZP;60;17/07/23;180000;170.0400000
GAZP;60;17/07/23;190000;170.4500000
GAZP;60;17/07/23;200000;170.6500000
GAZP;60;17/07/23;210000;170.4000000
GAZP;60;17/07/23;220000;170.5700000
GAZP;60;17/07/23;230000;170.7600000
GAZP;60;18/07/23;000000;170.6300000
GAZP;60;18/07/23;110000;171.4900000
GAZP;60;18/07/23;120000;171.5300000
GAZP;60;18/07/23;130000;171.5000000
GAZP;60;18/07/23;140000;171.8000000
GAZP;60;18/07/23;150000;172.9300000
GAZP;60;18/07/23;160000;173.7500000
GAZP;60;18/07/23;170000;173.8700000
GAZP;60;18/07/23;180000;174.2600000
GAZP;60;18/07/23;190000;174.5000000
GAZP;60;18/07/23;200000;174.4900000
GAZP;60;18/07/23;210000;174.8900000
GAZP;60;18/07/23;220000;174.9500000
GAZP;60;18/07/23;230000;174.8400000
GAZP;60;19/07/23;000000;174.8900000
GAZP;60;19/07/23;110000;173.9600000
GAZP;60;19/07/23;120000;174.2400000
GAZP;60;19/07/23;130000;173.3500000
GAZP;60;19/07/23;140000;173.2100000
GAZP;60;19/07/23;150000;173.4800000
GAZP;60;19/07/23;160000;173.0500000
GAZP;60;19/07/23;170000;173.4400000
GAZP;60;19/07/23;180000;173.5800000
GAZP;60;19/07/23;190000;173.0400000
GAZP;60;19/07/23;200000;172.7600000
GAZP;60;19/07/23;210000;173.2000000
GAZP;60;19/07/23;220000;173.3100000
GAZP;60;19/07/23;230000;173.1000000
GAZP;60;20/07/23;000000;173.0400000
GAZP;60;20/07/23;110000;172.2000000
GAZP;60;20/07/23;120000;171.8700000
GAZP;60;20/07/23;130000;171.8600000
GAZP;60;20/07/23;140000;172.0000000
GAZP;60;20/07/23;150000;172.2900000
GAZP;60;20/07/23;160000;172.2300000
GAZP;60;20/07/23;170000;172.4000000
GAZP;60;20/07/23;180000;172.1000000
GAZP;60;20/07/23;190000;171.9300000
GAZP;60;20/07/23;200000;171.7200000
GAZP;60;20/07/23;210000;170.1700000
GAZP;60;20/07/23;220000;170.1600000
GAZP;60;20/07/23;230000;170.5400000
GAZP;60;21/07/23;000000;169.9200000
GAZP;60;21/07/23;110000;170.4600000
GAZP;60;21/07/23;120000;170.6900000
GAZP;60;21/07/23;130000;170.7900000
GAZP;60;21/07/23;140000;170.4400000
GAZP;60;21/07/23;150000;171.2300000
GAZP;60;21/07/23;160000;171.0000000
GAZP;60;21/07/23;170000;171.5600000
GAZP;60;21/07/23;180000;171.4900000
GAZP;60;21/07/23;190000;171.6000000
GAZP;60;21/07/23;200000;171.4700000
GAZP;60;21/07/23;210000;171.2200000
GAZP;60;21/07/23;220000;171.2700000
